text,date,user
Solana massive upside potential,2025-10-03 04:40:21.827450,user_138
crypto looks strong today,2025-10-03 09:13:24.827481,user_1
bull market bullish setup,2025-10-03 03:26:06.827493,user_307
Ethereum trading sideways,2025-10-03 15:14:18.827502,user_337
bear market market looks shaky,2025-10-02 21:44:32.827510,user_398
bear market massive upside potential,2025-10-03 03:48:47.827518,user_11
liquidity looks strong today,2025-10-03 11:13:33.827524,user_55
SOL solid volume today,2025-10-03 01:24:39.827531,user_24
bear market market looks shaky,2025-10-03 01:08:15.827537,user_345
SOL solid volume today,2025-10-03 13:49:02.827542,user_88
altcoins bullish setup,2025-10-03 04:47:51.827547,user_248
Ethereum huge breakout coming,2025-10-03 09:29:54.827553,user_169
halving bullish setup,2025-10-03 10:19:42.827559,user_63
altcoins sell-off incoming,2025-10-03 15:59:30.827564,user_345
ETH massive upside potential,2025-10-03 11:46:47.827570,user_44
SOL weak support levels,2025-10-03 19:19:26.827575,user_411
memecoin looks strong today,2025-10-03 17:10:52.827580,user_160
SOL massive upside potential,2025-10-03 16:11:04.827585,user_47
bull market major dump happening,2025-10-03 04:07:12.827591,user_87
BTC is crashing...,2025-10-03 08:11:19.827596,user_440
liquidity market looks shaky,2025-10-03 01:59:47.827601,user_163
Ethereum is pumping!,2025-10-02 21:24:08.827605,user_489
crypto huge breakout coming,2025-10-03 10:58:21.827610,user_391
bull market huge breakout coming,2025-10-03 12:50:11.827615,user_72
halving bearish signal,2025-10-03 10:29:14.827620,user_201
altcoins bullish setup,2025-10-03 06:33:33.827625,user_201
blockchain market undecided,2025-10-03 07:24:48.827631,user_100
volatility heading to the moon,2025-10-03 11:05:54.827636,user_311
crypto interesting on-chain data,2025-10-03 15:47:16.827641,user_206
memecoin heading to the moon,2025-10-03 12:15:39.827646,user_221
SOL trading sideways,2025-10-02 23:49:57.827650,user_429
BTC bullish setup,2025-10-03 05:29:20.827655,user_458
Bitcoin sell-off incoming,2025-10-03 13:08:36.827660,user_283
bear market market looks shaky,2025-10-03 19:00:32.827665,user_411
liquidity bullish setup,2025-10-03 07:23:57.827669,user_319
blockchain still evaluating trends,2025-10-02 23:23:28.827674,user_287
SOL heading to the moon,2025-10-03 11:09:05.827679,user_195
bear market bearish signal,2025-10-03 04:27:57.827684,user_338
whales is pumping!,2025-10-03 20:42:18.827689,user_207
bear market still evaluating trends,2025-10-03 01:19:55.827693,user_156
halving heading to the moon,2025-10-02 23:42:56.827698,user_161
liquidity interesting on-chain data,2025-10-02 22:25:32.827703,user_391
crypto massive upside potential,2025-10-03 09:26:58.827708,user_472
liquidity bearish signal,2025-10-03 07:48:53.827712,user_133
whales market undecided,2025-10-03 18:18:55.827717,user_490
bear market looks strong today,2025-10-03 19:35:34.827722,user_370
crypto bullish setup,2025-10-03 04:44:27.827727,user_282
BTC still evaluating trends,2025-10-03 05:40:57.827732,user_260
Solana huge breakout coming,2025-10-02 22:28:50.827736,user_437
whales is pumping!,2025-10-03 02:09:48.827741,user_483
Solana bullish setup,2025-10-03 17:56:30.827746,user_340
SOL sell-off incoming,2025-10-03 03:38:08.827751,user_342
volatility trading sideways,2025-10-02 22:06:59.827756,user_220
Solana huge breakout coming,2025-10-03 09:54:23.827760,user_43
liquidity market looks shaky,2025-10-02 22:10:15.827765,user_65
Solana bearish signal,2025-10-02 22:00:49.827770,user_243
whales heading to the moon,2025-10-03 06:57:08.827774,user_209
volatility trading sideways,2025-10-03 16:17:15.827779,user_39
bull market bullish setup,2025-10-03 09:17:36.827784,user_197
crypto trading sideways,2025-10-03 20:40:11.827789,user_423
crypto market looks shaky,2025-10-03 00:16:00.827794,user_66
whales massive upside potential,2025-10-03 12:35:52.827798,user_427
BTC heading to the moon,2025-10-03 18:41:52.827803,user_159
altcoins still evaluating trends,2025-10-03 13:21:19.827808,user_326
bull market huge breakout coming,2025-10-03 19:19:04.827813,user_221
altcoins market undecided,2025-10-03 12:48:40.827819,user_262
BTC major dump happening,2025-10-03 03:46:31.827823,user_433
Solana huge breakout coming,2025-10-03 01:28:42.827828,user_223
BTC is pumping!,2025-10-03 13:11:45.827833,user_288
ETH looks strong today,2025-10-03 07:20:18.827837,user_176
Bitcoin massive upside potential,2025-10-03 15:02:59.827842,user_404
BTC solid volume today,2025-10-03 20:16:58.827847,user_437
SOL market looks shaky,2025-10-03 16:57:22.827851,user_256
Bitcoin bearish signal,2025-10-03 00:09:32.827856,user_266
whales looks strong today,2025-10-03 03:25:39.827861,user_382
bull market huge breakout coming,2025-10-03 02:36:09.827865,user_488
Bitcoin bullish setup,2025-10-03 20:03:30.827871,user_230
SOL sell-off incoming,2025-10-03 08:01:06.827877,user_453
altcoins heading to the moon,2025-10-03 20:12:44.827882,user_297
bear market is crashing...,2025-10-03 00:00:50.827886,user_222
bear market interesting on-chain data,2025-10-03 13:59:54.827891,user_12
whales bearish signal,2025-10-03 04:30:18.827896,user_425
halving looks strong today,2025-10-03 17:07:25.827902,user_376
Bitcoin is pumping!,2025-10-02 23:10:09.827907,user_280
blockchain is pumping!,2025-10-03 00:36:12.827912,user_15
crypto weak support levels,2025-10-03 07:34:28.827916,user_17
Ethereum market undecided,2025-10-03 19:37:45.827921,user_255
whales is crashing...,2025-10-03 02:32:03.827926,user_347
volatility massive upside potential,2025-10-03 01:14:02.827931,user_334
Ethereum huge breakout coming,2025-10-03 08:12:05.827936,user_494
Ethereum is crashing...,2025-10-03 15:58:33.827941,user_6
altcoins interesting on-chain data,2025-10-03 07:27:01.827947,user_73
ETH weak support levels,2025-10-03 05:31:14.827952,user_178
Bitcoin solid volume today,2025-10-03 20:03:19.827957,user_256
whales still evaluating trends,2025-10-03 05:55:12.827962,user_154
altcoins bullish setup,2025-10-03 19:29:56.827967,user_377
volatility still evaluating trends,2025-10-03 07:32:02.827972,user_6
halving huge breakout coming,2025-10-03 11:42:33.827977,user_88
bull market looks strong today,2025-10-02 22:06:08.827981,user_268
altcoins major dump happening,2025-10-02 21:30:44.827986,user_171
whales sell-off incoming,2025-10-03 04:10:41.827991,user_248
SOL trading sideways,2025-10-03 01:16:19.827996,user_63
bull market trading sideways,2025-10-03 11:07:01.828001,user_148
bear market solid volume today,2025-10-03 04:38:09.828005,user_88
BTC looks strong today,2025-10-02 21:37:30.828010,user_345
Bitcoin market looks shaky,2025-10-03 06:29:26.828015,user_426
liquidity sell-off incoming,2025-10-03 16:08:02.828020,user_192
bull market trading sideways,2025-10-03 04:12:33.828025,user_25
blockchain heading to the moon,2025-10-02 22:05:48.828031,user_324
